panel,name,OID
Olink CARDIOVASCULAR II(v.5006),ANGPT1,OID00380
Olink CARDIOVASCULAR II(v.5006),CD40-L,OID00382
Olink CARDIOVASCULAR II(v.5006),SRC,OID00388
Olink CARDIOVASCULAR II(v.5006),STK4,OID00392
Olink CARDIOVASCULAR II(v.5006),PAR-1,OID00395
Olink CARDIOVASCULAR II(v.5006),PDGF subunit B,OID00401
Olink CARDIOVASCULAR II(v.5006),CXCL1,OID00404
Olink CARDIOVASCULAR II(v.5006),SCF,OID00408
Olink CARDIOVASCULAR II(v.5006),GH,OID00417
Olink CARDIOVASCULAR II(v.5006),CD84,OID00420
Olink CARDIOVASCULAR II(v.5006),CCL17,OID00439
Olink CARDIOVASCULAR II(v.5006),ITGB1BP2,OID00443
Olink CARDIOVASCULAR II(v.5006),HB-EGF,OID00449
Olink CARDIOVASCULAR II(v.5006),THPO,OID00452
Olink CARDIOVASCULAR II(v.5006),HSP 27,OID00465
Olink CARDIOVASCULAR II(v.5006),NEMO,OID00467
Olink CARDIOVASCULAR III(v.6113),TNF-R2,OID00567
Olink CARDIOVASCULAR III(v.6113),GP6,OID05026
Olink CARDIOVASCULAR III(v.6113),PRTN3,OID00618
Olink CARDIOVASCULAR III(v.6113),CASP-3,OID00630
Olink CARDIOVASCULAR III(v.6113),PDGF subunit A,OID00648
Olink CELL REGULATION(v.3702),SLITRK2,OID01382
Olink CELL REGULATION(v.3702),TACC3,OID01399
Olink CELL REGULATION(v.3702),FAM19A5,OID01363
Olink CELL REGULATION(v.3702),CBL,OID01340
Olink CELL REGULATION(v.3702),MRC2,OID01392
Olink CELL REGULATION(v.3702),PRDX6,OID01343
Olink CELL REGULATION(v.3702),NFATC1,OID01325
Olink CELL REGULATION(v.3702),ARHGEF12,OID01390
Olink CELL REGULATION(v.3702),ARHGAP1,OID01352
Olink CELL REGULATION(v.3702),SEZ6L2,OID01361
Olink CELL REGULATION(v.3702),LGALS7,OID01344
Olink CELL REGULATION(v.3702),OPTC,OID01393
Olink CELL REGULATION(v.3702),BCR,OID01336
Olink CELL REGULATION(v.3702),HS3ST3B1,OID01398
Olink CELL REGULATION(v.3702),DNAJB1,OID01342
Olink CELL REGULATION(v.3702),FLI1,OID01348
Olink CELL REGULATION(v.3702),ZBTB16,OID01350
Olink CELL REGULATION(v.3702),MAP2K6,OID01345
Olink CELL REGULATION(v.3702),GCNT1,OID01349
