panel,name,OID
Olink CARDIOVASCULAR II(v.5006),ANGPT1,OID00380
Olink CARDIOVASCULAR II(v.5006),CD40-L,OID00382
Olink CARDIOVASCULAR II(v.5006),SRC,OID00388
Olink CARDIOVASCULAR II(v.5006),IL-1ra,OID00389
Olink CARDIOVASCULAR II(v.5006),TNFRSF10A,OID00391
Olink CARDIOVASCULAR II(v.5006),STK4,OID00392
Olink CARDIOVASCULAR II(v.5006),PDGF subunit B,OID00401
Olink CARDIOVASCULAR II(v.5006),GH,OID00417
Olink CARDIOVASCULAR II(v.5006),GLO1,OID00419
Olink CARDIOVASCULAR II(v.5006),DECR1,OID00424
Olink CARDIOVASCULAR II(v.5006),KIM1,OID00426
Olink CARDIOVASCULAR II(v.5006),CCL17,OID00439
Olink CARDIOVASCULAR II(v.5006),ITGB1BP2,OID00443
Olink CARDIOVASCULAR II(v.5006),CTSL1,OID00459
Olink CARDIOVASCULAR II(v.5006),NEMO,OID00467
Olink CARDIOVASCULAR III(v.6113),ITGB2,OID00565
Olink CARDIOVASCULAR III(v.6113),PAI,OID00591
Olink CARDIOVASCULAR III(v.6113),CCL24,OID00592
Olink CARDIOVASCULAR III(v.6113),CHIT1,OID00605
Olink CARDIOVASCULAR III(v.6113),PSP-D,OID00608
Olink CARDIOVASCULAR III(v.6113),CASP-3,OID00630
Olink CARDIOVASCULAR III(v.6113),PDGF subunit A,OID00648
Olink CELL REGULATION(v.3702),TACC3,OID01399
Olink CELL REGULATION(v.3702),LRRN1,OID01362
Olink CELL REGULATION(v.3702),CBL,OID01340
Olink CELL REGULATION(v.3702),IQGAP2,OID01357
Olink CELL REGULATION(v.3702),METAP1D,OID01360
Olink CELL REGULATION(v.3702),NFATC1,OID01325
Olink CELL REGULATION(v.3702),TDRKH,OID01397
Olink CELL REGULATION(v.3702),ARHGEF12,OID01390
Olink CELL REGULATION(v.3702),PREB,OID01384
Olink CELL REGULATION(v.3702),LRMP,OID01354
Olink CELL REGULATION(v.3702),ARHGAP1,OID01352
Olink CELL REGULATION(v.3702),BCR,OID01336
Olink CELL REGULATION(v.3702),TNFRSF10A,OID01309
Olink CELL REGULATION(v.3702),STX16,OID01312
Olink CELL REGULATION(v.3702),PAK4,OID01327
Olink CELL REGULATION(v.3702),DNAJB1,OID01342
Olink CELL REGULATION(v.3702),DCTN2,OID01356
Olink CELL REGULATION(v.3702),ZBTB16,OID01350
