panel,name,OID
Olink CARDIOMETABOLIC(v.3602),PRCP,OID01272
Olink CARDIOMETABOLIC(v.3602),CA1,OID01223
Olink CARDIOMETABOLIC(v.3602),ICAM1,OID01230
Olink CARDIOMETABOLIC(v.3602),CHL1,OID01216
Olink CARDIOMETABOLIC(v.3602),TGFBI,OID01291
Olink CARDIOMETABOLIC(v.3602),ENG,OID01254
Olink CARDIOMETABOLIC(v.3602),PLTP,OID01275
Olink CARDIOMETABOLIC(v.3602),SERPINA7,OID01232
Olink CARDIOMETABOLIC(v.3602),IGFBP3,OID01255
Olink CARDIOMETABOLIC(v.3602),CR2,OID01258
Olink CARDIOMETABOLIC(v.3602),SERPINA5,OID01229
Olink CARDIOMETABOLIC(v.3602),FCGR3B,OID01219
Olink CARDIOMETABOLIC(v.3602),IGFBP6,OID01264
Olink CARDIOMETABOLIC(v.3602),CDH1,OID01245
Olink CARDIOMETABOLIC(v.3602),CCL5,OID01246
Olink CARDIOMETABOLIC(v.3602),CCL14,OID01292
Olink CARDIOMETABOLIC(v.3602),GNLY,OID01262
Olink CARDIOMETABOLIC(v.3602),NOTCH1,OID01273
Olink CARDIOMETABOLIC(v.3602),PAM,OID01256
Olink CARDIOMETABOLIC(v.3602),PROC,OID01228
Olink CARDIOMETABOLIC(v.3602),CST3,OID01225
Olink CARDIOMETABOLIC(v.3602),NCAM1,OID01247
Olink CARDIOMETABOLIC(v.3602),PCOLCE,OID01289
Olink CARDIOMETABOLIC(v.3602),LILRB1,OID01297
Olink CARDIOMETABOLIC(v.3602),MET,OID01238
Olink CARDIOMETABOLIC(v.3602),LTBP2,OID01288
Olink CARDIOMETABOLIC(v.3602),IL7R,OID01253
Olink CARDIOMETABOLIC(v.3602),VCAM1,OID01257
Olink CARDIOMETABOLIC(v.3602),SELL,OID01249
Olink CARDIOMETABOLIC(v.3602),F11,OID01227
Olink CARDIOMETABOLIC(v.3602),COMP,OID01274
Olink CARDIOMETABOLIC(v.3602),CA4,OID01261
Olink CARDIOMETABOLIC(v.3602),PTPRS,OID01284
Olink CARDIOMETABOLIC(v.3602),MBL2,OID01243
Olink CARDIOMETABOLIC(v.3602),TIMP1,OID01224
Olink CARDIOMETABOLIC(v.3602),ANGPTL3,OID01306
Olink CARDIOMETABOLIC(v.3602),REG3A,OID01280
Olink CARDIOMETABOLIC(v.3602),SOD1,OID01222
Olink CARDIOMETABOLIC(v.3602),CD46,OID01251
Olink CARDIOMETABOLIC(v.3602),ITGAM,OID01242
Olink CARDIOMETABOLIC(v.3602),TNC,OID01265
Olink CARDIOMETABOLIC(v.3602),NID1,OID01250
Olink CARDIOMETABOLIC(v.3602),CFHR5,OID01302
Olink CARDIOMETABOLIC(v.3602),SPARCL1,OID01287
Olink CARDIOMETABOLIC(v.3602),PLXNB2,OID01218
Olink CARDIOMETABOLIC(v.3602),MEGF9,OID01303
Olink CARDIOMETABOLIC(v.3602),ANG,OID01226
Olink CARDIOMETABOLIC(v.3602),ST6GAL1,OID01252
Olink CARDIOMETABOLIC(v.3602),DPP4,OID01266
Olink CARDIOMETABOLIC(v.3602),REG1A,OID01231
Olink CARDIOMETABOLIC(v.3602),QPCT,OID01293
Olink CARDIOMETABOLIC(v.3602),FCN2,OID01290
Olink CARDIOMETABOLIC(v.3602),FETUB,OID01305
Olink CARDIOMETABOLIC(v.3602),CES1,OID01263
Olink CARDIOMETABOLIC(v.3602),CRTAC1,OID01304
Olink CARDIOMETABOLIC(v.3602),TCN2,OID01259
Olink CARDIOMETABOLIC(v.3602),PRSS2,OID01236
Olink CARDIOMETABOLIC(v.3602),ICAM3,OID01267
Olink CARDIOMETABOLIC(v.3602),SAA4,OID01269
Olink CARDIOMETABOLIC(v.3602),CNDP1,OID01299
Olink CARDIOMETABOLIC(v.3602),FCGR2A,OID01244
Olink CARDIOMETABOLIC(v.3602),NRP1,OID01217
Olink CARDIOMETABOLIC(v.3602),EFEMP1,OID01281
Olink CARDIOMETABOLIC(v.3602),TIMD4,OID01298
Olink CARDIOMETABOLIC(v.3602),FAP,OID01282
Olink CARDIOMETABOLIC(v.3602),TIE1,OID01270
Olink CARDIOMETABOLIC(v.3602),THBS4,OID01268
Olink CARDIOMETABOLIC(v.3602),F7,OID01239
Olink CARDIOMETABOLIC(v.3602),GP1BA,OID01234
Olink CARDIOMETABOLIC(v.3602),LYVE1,OID01307
Olink CARDIOMETABOLIC(v.3602),CA3,OID01235
Olink CARDIOMETABOLIC(v.3602),TGFBR3,OID01279
Olink CARDIOMETABOLIC(v.3602),DEFA1,OID01277
Olink CARDIOMETABOLIC(v.3602),CD59,OID01248
Olink CARDIOMETABOLIC(v.3602),APOM,OID01221
Olink CARDIOMETABOLIC(v.3602),OSMR,OID01300
Olink CARDIOMETABOLIC(v.3602),LILRB2,OID01296
Olink CARDIOMETABOLIC(v.3602),UMOD,OID01237
Olink CARDIOMETABOLIC(v.3602),CCL18,OID01276
Olink CARDIOMETABOLIC(v.3602),COL18A1,OID01271
Olink CARDIOMETABOLIC(v.3602),LCN2,OID01278
Olink CARDIOMETABOLIC(v.3602),KIT,OID01241
Olink CARDIOMETABOLIC(v.3602),C1QTNF1,OID01301
Olink CARDIOMETABOLIC(v.3602),AOC3,OID01294
Olink CARDIOMETABOLIC(v.3602),GAS6,OID01286
Olink CARDIOMETABOLIC(v.3602),IGLC2,OID01240
Olink CARDIOMETABOLIC(v.3602),PLA2G7,OID01283
Olink CARDIOMETABOLIC(v.3602),TNXB,OID01260
Olink CARDIOMETABOLIC(v.3602),MFAP5,OID01285
Olink CARDIOMETABOLIC(v.3602),VASN,OID01295
Olink CARDIOMETABOLIC(v.3602),LILRB5,OID01220
Olink CARDIOMETABOLIC(v.3602),C2,OID01233
Olink CARDIOVASCULAR II(v.5006),BMP-6,OID00379
Olink CARDIOVASCULAR II(v.5006),ANGPT1,OID00380
Olink CARDIOVASCULAR II(v.5006),ADM,OID00381
Olink CARDIOVASCULAR II(v.5006),CD40-L,OID00382
Olink CARDIOVASCULAR II(v.5006),SLAMF7,OID00383
Olink CARDIOVASCULAR II(v.5006),PGF,OID00384
Olink CARDIOVASCULAR II(v.5006),ADAM-TS13,OID00385
Olink CARDIOVASCULAR II(v.5006),BOC,OID00386
Olink CARDIOVASCULAR II(v.5006),IL-4RA,OID00387
Olink CARDIOVASCULAR II(v.5006),SRC,OID00388
Olink CARDIOVASCULAR II(v.5006),IL-1ra,OID00389
Olink CARDIOVASCULAR II(v.5006),IL6,OID00390
Olink CARDIOVASCULAR II(v.5006),TNFRSF10A,OID00391
Olink CARDIOVASCULAR II(v.5006),STK4,OID00392
Olink CARDIOVASCULAR II(v.5006),IDUA,OID00393
Olink CARDIOVASCULAR II(v.5006),TNFRSF11A,OID00394
Olink CARDIOVASCULAR II(v.5006),PAR-1,OID00395
