sis3_proteins,sis3_correlations,sis3_pvalue,facit_proteins,facit_correlations,facit_p-value
ITGAV,0.460071251,0.000538698,EPO,0.295322002,0.00219236
HPGDS,0.400297489,0.000933673,RASA1,0.28772832,0.00584491
ITGA11,0.365526455,0.000716312,ITGAV,0.275494924,0.00616841
PLXDC1,0.324713738,0.007379334,METAP1,0.275054959,0.02446944
NRP1,0.306913905,0.002273689,LEPR,0.266261217,0.00217173
CRTAC1,0.296798229,0.003150232,CNDP1,0.255320457,0.02504384
ITGB1,0.296576613,0.034385535,MEP1B,0.25480739,0.00668219
ADGRG2,0.291347986,0.005569828,EIF5A,0.251985216,0.00409634
CR2,0.290866731,0.000754088,HPGDS,0.251494116,0.02928565
CCL24,0.290036341,0.01182779,FCRL3,0.244572452,0.02306517
ITGB6,0.274423691,0.018962601,PVR,0.242936013,0.04013299
PODXL,0.259506664,0.037688657,GH,0.194109248,0.02943033
GHRL,0.255041104,0.018403753,BIRC2,0.010736369,0.04568027
CD58,0.251593171,0.042272838,DUSP3,-0.045567061,0.02246272
GH,0.250664717,0.043094418,ATP6AP2,-0.085719393,0.04423446
LRRN1,0.246102699,0.04489432,GCNT1,-0.092801848,0.03515782
CNTN2,0.237104265,0.046870378,TNFAIP8,-0.128199975,0.00633494
IL13RA1,0.233167781,0.013348729,PRTN3,-0.137208351,0.02893452
LYVE1,0.229294721,0.026895988,FABP9,-0.138939427,0.04351471
CHIT1,0.227157723,0.027949981,CCT5,-0.1633026,0.03892637
PSP-D,0.220782537,0.018251307,LYN,-0.163841253,0.03140068
LY75,0.216985107,0.005610757,DDR1,-0.165279088,0.04234397
ROBO1,0.215100082,0.044006634,PPP1R9B,-0.16937451,0.02093343
FASLG,0.214171322,0.016683081,QPCT,-0.173600531,0.04494058
NOTCH1,0.210864266,0.019280431,MAX,-0.176859918,0.02336159
ITGB2,0.20939062,0.040190239,FCGR2A,-0.184135463,0.03257156
GCNT1,0.206825757,0.02224086,ARTN,-0.185347261,0.03638622
PTPRF,0.206417699,0.031248644,HS3ST3B1,-0.186158388,0.04794622
MET,0.200984941,0.029901897,CDC27,-0.186387958,0.01101054
CPA2,0.19335028,0.045748926,MRC2,-0.189705205,0.04483665
CD244,0.192803937,0.033953616,SCF,-0.193239638,0.0396966
SELL,0.19250419,0.019888259,PRDX6,-0.197426873,0.0109587
ATP6AP2,0.185531915,0.039441565,gal-8,-0.198452429,0.04644127
ITGAM,0.155561419,0.042014445,BST1,-0.19877684,0.02182369
GP1BA,0.148172098,0.04410167,NUB1,-0.199042131,0.04373858
RPS6KB1,-0.036733952,0.047033885,TNF-R2,-0.199123471,0.04025849
TDRKH,-0.087653926,0.010744609,SAA4,-0.204795227,0.04138037
STX8,-0.138828701,0.005703408,FOXO3,-0.207689958,0.01498122
ARHGAP25,-0.142148786,0.040841342,PLXNA4,-0.208679297,0.02043794
CD63,-0.144628748,0.039010232,SEZ6L2,-0.209757375,0.00541648
IL-24,-0.145732077,0.035467007,CETN2,-0.210309149,0.00884386
FKBP1B,-0.147666723,0.035037203,TYRO3,-0.211199961,0.02193015
KIM1,-0.152983646,0.043361637,TMSB10,-0.21298324,0.04433646
AHCY,-0.153881577,0.021578772,FLI1,-0.213324066,0.01318615
WAS,-0.155048303,0.010747518,FAM19A5,-0.213959745,0.01737043
AIFM1,-0.156832982,0.037603598,SIGLEC1,-0.214540825,0.04338084
YTHDF3,-0.163164888,0.019589698,USP8,-0.216290729,0.00784723
SCAMP3,-0.163519554,0.005287534,TBL1X,-0.220032456,0.0150583
ERBB2IP,-0.164692491,0.026329275,DCTN1,-0.220742542,0.03672959
PEBP1,-0.166117291,0.044679177,PVALB,-0.221273388,0.01872977
KYNU,-0.168158002,0.04172311,IRF9,-0.221867952,0.02024374
LRMP,-0.168258513,0.03449607,SPRY2,-0.223312343,0.02077713
TXNDC5,-0.168986288,0.049223931,SLITRK2,-0.224998366,0.03419636
NUDT5,-0.169110608,0.037079802,GFR-alpha-1,-0.227151547,0.02868927
GFER,-0.169245799,0.035197707,AKT1S1,-0.227813687,0.02726189
PAK4,-0.169958729,0.022213612,THPO,-0.228633339,0.03411421
PPP1R9B,-0.172725298,0.026690151,ZBTB16,-0.228991865,0.00997823
ZBTB16,-0.172991143,0.032755273,LAP TGF-beta-1,-0.230265771,0.02816999
PPP3R1,-0.175797817,0.045023562,ADA,-0.230425286,0.04467069
gal-8,-0.177178716,0.008335736,LRIG1,-0.231680806,0.02865775
PRDX1,-0.179441492,0.033319465,CASP-8,-0.232002822,0.02898253
PLXNA4,-0.181470228,0.005642042,IL33,-0.233444971,0.04970909
TACC3,-0.183204893,0.018529293,THBS4,-0.235792149,0.03440655
ICA1,-0.185124295,0.034118329,CD200R1,-0.237408314,0.03538288
PPP1R2,-0.185450067,0.029926869,CDKN1A,-0.23742992,0.02262978
PREB,-0.186201558,0.046778611,WWP2,-0.238258577,0.02780242
TNFRSF10A,-0.187307078,0.009500719,OPTC,-0.238885505,0.04970269
ARHGAP1,-0.187572577,0.014215358,TOP2B,-0.238950568,0.01395858
ABL1,-0.190594429,0.035326553,CCL23,-0.242039792,0.03452875
